State_name,Tot_Population,Avg_pop,District_Count
ANDAMAN AND NICOBAR ISLANDS,380581,126860,3
ANDHRA PRADESH,84580777,3677425,23
ARUNACHAL PRADESH,1383727,86482,16
ASSAM,31205576,1155762,27
BIHAR,104099452,2739459,38
CHANDIGARH,1055450,1055450,1
CHHATTISGARH,25545198,1419177,18
DADRA AND NAGAR HAVELI,343709,343709,1
DAMAN AND DIU,243247,121623,2
GOA,1458545,729272,2
GUJARAT,60439692,2324603,26
HARYANA,25351462,1207212,21
HIMACHAL PRADESH,6864602,572050,12
JAMMU AND KASHMIR,12541302,570059,22
JHARKHAND,32988134,1374505,24
KARNATAKA,61095297,2036509,30
KERALA,33406061,2386147,14
LAKSHADWEEP,64473,64473,1
MADHYA PRADESH,72626809,1452536,50
MAHARASHTRA,112374333,3210695,35
MANIPUR,2855794,317310,9
MEGHALAYA,2966889,423841,7
MIZORAM,1097206,137150,8
NAGALAND,1978502,179863,11
NCT OF DELHI,16787941,1865326,9
ORISSA,41974218,1399140,30
PONDICHERRY,1247953,311988,4
PUNJAB,27743338,1387166,20
RAJASTHAN,68548437,2077225,33
SIKKIM,610577,152644,4
TAMIL NADU,72147030,2254594,32
TRIPURA,3673917,918479,4
UTTAR PRADESH,199812341,2814258,71
UTTARAKHAND,10086292,775868,13
WEST BENGAL,91276115,4804006,19
